BuildingType,PrimaryPropertyType,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,NumberofFloors,PropertyGFATotal,PropertyGFAParking,ENERGYSTARScore,SteamUse(kBtu),TotalGHGEmissions,BuildingAge
NonResidential,Hotel,98109.0,7,LAKE UNION,47.61986,-122.34413,5,113173,42546,86.0,0.0,144.79,57
NonResidential,Hotel,98109.0,7,LAKE UNION,47.62001,-122.34274,7,150453,34735,84.0,0.0,199.95,16
NonResidential,Hotel,98109.0,7,LAKE UNION,47.62025,-122.34314,6,116300,28200,80.0,0.0,162.39,19
NonResidential,Hotel,98119.0,7,MAGNOLIA / QUEEN ANNE,47.62023,-122.35951,6,155602,36744,81.0,0.0,152.76,18
NonResidential,K-12 School,98136.0,3,EAST,47.63442,-122.30793,3,56072,0,76.0,0.0,146.34,105
NonResidential,Hotel,98109.0,7,MAGNOLIA / QUEEN ANNE,47.62519,-122.34456,4,122942,44891,94.0,0.0,171.64,17
NonResidential,Small- and Mid-Sized Office,98122.0,3,CENTRAL,47.60823,-122.30956,2,54984,0,71.0,0.0,87.98,54
NonResidential,Senior Care Community,98126.0,1,SOUTHWEST,47.55837,-122.37751,5,217603,0,54.0,0.0,1727.11,94
NonResidential,Senior Care Community,98133.0,5,NORTHWEST,47.72426,-122.35599,2,93397,0,1.0,0.0,609.1,46
NonResidential,Hotel,98109.0,7,LAKE UNION,47.61988,-122.33211,6,84103,20732,74.0,0.0,67.06,8
SPS-District K-12,K-12 School,98146.0,1,SOUTHWEST,47.5097,-122.37759,2,53352,0,,0.0,4.19,68
NonResidential,Medical Office,98122.0,3,EAST,47.61244,-122.3214,3,179014,0,48.0,0.0,430.84,51
NonResidential,Hotel,98104.0,3,EAST,47.60898,-122.32693,7,76631,0,71.0,0.0,262.75,108
NonResidential,Mixed Use Property,98104.0,3,EAST,47.60845,-122.32637,6,99780,9341,,5327802.5,481.97,33
NonResidential,Retail Store,98109.0,7,LAKE UNION,47.62237,-122.33805,2,58320,0,96.0,0.0,39.06,87
NonResidential,Large Office,98109.0,7,LAKE UNION,47.62424,-122.33646,5,316306,0,96.0,0.0,138.85,6
NonResidential,Hotel,98109.0,3,LAKE UNION,47.62642,-122.33325,7,282863,44766,37.0,0.0,526.85,26
Nonresidential COS,Other,98109.0,7,MAGNOLIA / QUEEN ANNE,47.62208,-122.35398,1,389000,0,,6093150.0,607.41,54
Nonresidential COS,Other,98109.0,7,MAGNOLIA / QUEEN ANNE,47.62208,-122.35398,1,91213,0,,4120130.0,344.2,54
Nonresidential COS,Other,98109.0,7,MAGNOLIA / QUEEN ANNE,47.62208,-122.35398,5,396085,0,,9763690.0,804.2,78
NonResidential,Large Office,98109.0,7,LAKE UNION,47.62112,-122.33629,12,571329,0,91.0,0.0,617.52,6
Nonresidential COS,Other,98109.0,7,MAGNOLIA / QUEEN ANNE,47.62395,-122.35077,2,52000,0,,1202380.0,101.83,54
Nonresidential COS,Other,98109.0,7,MAGNOLIA / QUEEN ANNE,47.62395,-122.35077,1,60696,0,,0.0,6.11,88
Nonresidential COS,Other,98109.0,7,MAGNOLIA / QUEEN ANNE,47.62395,-122.35143,2,262048,0,,5137220.0,490.73,88
NonResidential,Small- and Mid-Sized Office,98109.0,7,MAGNOLIA / QUEEN ANNE,47.62391,-122.34837,2,66240,2352,,0.0,29.04,30
NonResidential,Large Office,98109.0,7,MAGNOLIA / QUEEN ANNE,47.62419,-122.34443,6,920598,303707,93.0,0.0,674.09,6
NonResidential,Small- and Mid-Sized Office,98033.0,7,MAGNOLIA / QUEEN ANNE,47.62053,-122.35842,4,76213,25930,68.0,0.0,48.76,46
NonResidential,Hotel,98109.0,7,MAGNOLIA / QUEEN ANNE,47.62291,-122.35708,6,96910,36934,56.0,0.0,152.14,14
NonResidential,Hotel,98105.0,4,NORTHEAST,47.65772,-122.31756,4,50017,0,53.0,0.0,191.2,54
SPS-District K-12,K-12 School,98106.0,1,DELRIDGE,47.5636,-122.358,3,74468,0,,0.0,11.84,17
NonResidential,K-12 School,98112.0,3,EAST,47.62548,-122.30828,3,67743,0,34.0,0.0,78.85,93
NonResidential,K-12 School,98112.0,3,EAST,47.62644,-122.30429,6,194104,0,100.0,0.0,243.23,108
NonResidential,Small- and Mid-Sized Office,98144.0,3,SOUTHEAST,47.58408,-122.30125,3,99433,35752,63.0,0.0,34.14,13
SPS-District K-12,K-12 School,98144.0,2,SOUTHEAST,47.57324,-122.29058,2,58933,0,,0.0,16.36,25
SPS-District K-12,K-12 School,98108.0,2,GREATER DUWAMISH,47.56413,-122.31208,1,130862,0,61.0,0.0,238.48,59
SPS-District K-12,K-12 School,98118.0,2,SOUTHEAST,47.55478,-122.27596,3,59955,0,93.0,0.0,20.48,27
SPS-District K-12,K-12 School,98119.0,7,MAGNOLIA / QUEEN ANNE,47.63683,-122.35896,2,93218,0,86.0,0.0,84.75,52
NonResidential,Other,98115.0,4,NORTHEAST,47.67524,-122.31534,4,56521,0,,0.0,44.32,75
NonResidential,Other,98115.0,4,NORTHEAST,47.67559,-122.31769,2,206934,0,,0.0,133.58,87
NonResidential,Hotel,98133.0,5,NORTHWEST,47.73141,-122.3458,4,51390,0,89.0,0.0,127.29,15
SPS-District K-12,K-12 School,98133.0,5,NORTHWEST,47.72463,-122.35315,2,131013,0,88.0,0.0,124.92,53
SPS-District K-12,K-12 School,98133.0,5,NORTHWEST,47.7257,-122.33684,1,245587,0,92.0,0.0,443.73,57
NonResidential,Hotel,98133.0,5,NORTHWEST,47.72551,-122.3423,3,69138,0,78.0,0.0,89.02,14
SPS-District K-12,K-12 School,98103.0,6,LAKE UNION,47.65464,-122.34912,3,66588,0,,0.0,14.67,25
NonResidential,Hotel,98104.0,7,DOWNTOWN,47.6048,-122.3368,5,190980,0,98.0,0.0,142.39,112
Nonresidential COS,Other,98111.0,7,DOWNTOWN,47.60804,-122.3367,6,284100,0,,4311136.0,429.12,18
NonResidential,Hospital,98107.0,6,BALLARD,47.66737,-122.37956,5,285333,0,14.0,0.0,1990.5,62
SPS-District K-12,K-12 School,98107.0,6,BALLARD,47.6706,-122.36225,2,55513,0,93.0,0.0,10.55,25
Nonresidential COS,Other,98104.0,2,DOWNTOWN,47.60112,-122.32785,4,61156,0,,0.0,176.75,10
NonResidential,Other,98104.0,2,DOWNTOWN,47.59809,-122.32283,4,72820,13820,,0.0,46.26,106
NonResidential,Hotel,98109.0,7,MAGNOLIA / QUEEN ANNE,47.62614,-122.3467,4,162222,14200,76.0,0.0,228.4,20
SPS-District K-12,K-12 School,98144.0,2,SOUTHEAST,47.57589,-122.29365,4,289588,0,90.0,0.0,170.84,26
NonResidential,University,98122.0,3,EAST,47.61495,-122.32177,3,63330,0,,0.0,74.33,101
Campus,University,98106.0,1,DELRIDGE,47.547,-122.35307,2,441071,0,,0.0,866.23,46
NonResidential,Small- and Mid-Sized Office,98115.0,4,NORTHEAST,47.67828,-122.26456,2,96300,0,,0.0,222.02,14
Nonresidential COS,Other,98134.0,2,GREATER DUWAMISH,47.59545,-122.32146,1,67356,0,,0.0,204.08,66
SPS-District K-12,K-12 School,98122.0,3,CENTRAL,47.60598,-122.30156,3,254523,0,60.0,0.0,359.09,8
SPS-District K-12,K-12 School,98118.0,2,SOUTHEAST,47.51482,-122.25864,3,78804,0,92.0,0.0,56.82,15
SPS-District K-12,K-12 School,98122.0,3,CENTRAL,47.61224,-122.29087,3,66994,0,79.0,0.0,41.74,14
SPS-District K-12,K-12 School,98118.0,2,GREATER DUWAMISH,47.52915,-122.28904,3,98357,0,88.0,0.0,94.64,16
NonResidential,Small- and Mid-Sized Office,98118.0,2,GREATER DUWAMISH,47.53827,-122.28406,1,54765,0,,0.0,61.21,58
NonResidential,Other,98118.0,2,GREATER DUWAMISH,47.53722,-122.284,5,89821,0,,0.0,100.46,7
NonResidential,University,98119.0,7,MAGNOLIA / QUEEN ANNE,47.65147,-122.36122,2,52611,0,,0.0,104.26,36
NonResidential,Residence Hall,98119.0,7,MAGNOLIA / QUEEN ANNE,47.65068,-122.36331,4,139600,37500,89.0,0.0,129.39,15
SPS-District K-12,K-12 School,98125.0,5,NORTH,47.70763,-122.29453,2,236758,0,96.0,0.0,222.78,5
NonResidential,Other,98122.0,3,CENTRAL,47.60462,-122.31549,6,250981,0,,4336524.5,422.39,45
SPS-District K-12,K-12 School,98117.0,6,NORTHWEST,47.68725,-122.35996,3,62526,0,96.0,0.0,54.07,14
NonResidential,Other,98101.0,7,DOWNTOWN,47.61598,-122.33448,11,299070,68432,,0.0,2055.82,12
NonResidential,Small- and Mid-Sized Office,98108.0,2,GREATER DUWAMISH,47.536,-122.31768,3,64015,0,21.0,0.0,49.58,9
NonResidential,Retail Store,98125.0,5,NORTH,47.70759,-122.3255,1,530039,0,98.0,0.0,723.47,65
NonResidential,Other,98125.0,5,NORTH,47.7066,-122.321,3,54224,0,,0.0,231.53,52
NonResidential,Retail Store,98125.0,5,NORTH,47.70619,-122.32586,4,124342,0,76.0,0.0,66.3,51
NonResidential,Hospital,98105.0,4,NORTHEAST,47.66231,-122.28146,10,879000,0,10.0,0.0,8145.52,63
NonResidential,Other,98133.0,5,NORTHWEST,47.70956,-122.3345,3,55442,0,72.0,0.0,83.7,20
SPS-District K-12,K-12 School,98117.0,6,BALLARD,47.67661,-122.37489,2,242795,0,80.0,0.0,123.71,17
NonResidential,Self-Storage Facility,98122.0,3,EAST,47.61233,-122.3171,5,84870,0,,0.0,51.11,106
Campus,University,98103.0,5,NORTHWEST,47.69936,-122.33401,2,694072,111625,,0.0,362.82,46
SPS-District K-12,K-12 School,98118.0,2,SOUTHEAST,47.54632,-122.28198,2,173185,0,79.0,0.0,242.36,64
SPS-District K-12,K-12 School,98106.0,1,DELRIDGE,47.54862,-122.36214,1,145341,0,75.0,0.0,206.01,53
NonResidential,Warehouse,98108.0,2,GREATER DUWAMISH,47.55152,-122.31869,4,114297,0,61.0,0.0,69.44,112
SPS-District K-12,K-12 School,98118.0,2,SOUTHEAST,47.52407,-122.26586,2,184125,0,86.0,0.0,328.97,56
SPS-District K-12,K-12 School,98117.0,6,BALLARD,47.69675,-122.3776,1,160270,0,,0.0,229.38,57
NonResidential,Warehouse,98134.0,2,GREATER DUWAMISH,47.55901,-122.33328,1,234144,0,87.0,0.0,297.43,79
NonResidential,Retail Store,98126.0,1,DELRIDGE,47.52254,-122.36627,1,64984,0,72.0,0.0,35.78,50
NonResidential,Retail Store,98126.0,1,DELRIDGE,47.52254,-122.36627,1,67745,0,37.0,0.0,369.14,51
SPS-District K-12,K-12 School,98126.0,1,DELRIDGE,47.52915,-122.36511,2,367884,0,97.0,0.0,272.85,6
SPS-District K-12,K-12 School,98126.0,1,DELRIDGE,47.51778,-122.37074,1,46797,0,86.0,0.0,73.47,58
SPS-District K-12,K-12 School,98144.0,3,CENTRAL,47.59796,-122.30415,3,136188,0,,0.0,170.9,53
NonResidential,Other,98117.0,6,BALLARD,47.67767,-122.39631,3,56000,0,,0.0,59.34,43
SPS-District K-12,K-12 School,98118.0,2,SOUTHEAST,47.54174,-122.27691,2,67371,0,92.0,0.0,46.36,12
NonResidential,Self-Storage Facility,98126.0,1,SOUTHWEST,47.54508,-122.37737,2,52088,0,,0.0,48.99,47
SPS-District K-12,K-12 School,98103.0,4,LAKE UNION,47.65708,-122.33803,3,127776,0,75.0,0.0,80.08,6
NonResidential,Hotel,98109.0,3,LAKE UNION,47.62972,-122.32906,5,123920,30000,79.0,0.0,309.6,18
Nonresidential COS,Other,98109.0,3,LAKE UNION,47.62759,-122.33661,1,50000,0,,0.0,225.69,116
Nonresidential COS,Warehouse,98109.0,7,MAGNOLIA / QUEEN ANNE,47.62591,-122.34084,2,50292,0,,0.0,3.0,90
NonResidential,Hotel,98109.0,7,MAGNOLIA / QUEEN ANNE,47.62782,-122.34045,7,207656,54341,76.0,0.0,338.16,18
SPS-District K-12,K-12 School,98117.0,6,BALLARD,47.68359,-122.37308,2,67235,0,89.0,0.0,49.12,17
Nonresidential COS,Small- and Mid-Sized Office,98103.0,5,NORTHWEST,47.70044,-122.34136,2,91130,0,,0.0,175.77,59
SPS-District K-12,K-12 School,98136.0,1,SOUTHWEST,47.54025,-122.3885,3,58118,0,97.0,0.0,21.29,25
NonResidential,Hotel,98133.0,5,NORTHWEST,47.70916,-122.33216,4,64893,0,70.0,0.0,208.26,48
SPS-District K-12,K-12 School,98108.0,2,GREATER DUWAMISH,47.53809,-122.29591,1,70762,0,87.0,0.0,168.88,91
NonResidential,Small- and Mid-Sized Office,98104.0,7,DOWNTOWN,47.60105,-122.33518,3,44558,0,78.0,0.0,28.27,116
NonResidential,Other,98134.0,2,GREATER DUWAMISH,47.59544,-122.33159,6,1585960,327680,,0.0,892.63,17
Nonresidential COS,Distribution Center,98134.0,2,GREATER DUWAMISH,47.57199,-122.32811,2,179161,0,,0.0,96.43,92
Nonresidential COS,Warehouse,98134.0,2,GREATER DUWAMISH,47.57199,-122.32811,2,58640,0,,0.0,27.39,51
NonResidential,Other,98134.0,2,GREATER DUWAMISH,47.59085,-122.33354,3,1172127,0,,0.0,1246.55,17
NonResidential,Hotel,98134.0,2,GREATER DUWAMISH,47.59269,-122.33372,9,168449,14567,64.0,0.0,388.37,11
NonResidential,Warehouse,98134.0,1,GREATER DUWAMISH,47.57507,-122.35747,4,79600,0,34.0,0.0,16.81,100
SPS-District K-12,K-12 School,98103.0,4,LAKE UNION,47.65996,-122.33962,4,241066,0,79.0,0.0,270.97,19
Campus,Large Office,98108.0,1,GREATER DUWAMISH,47.52429,-122.31234,2,334368,31874,,0.0,748.55,36
NonResidential,Other,98125.0,5,NORTH,47.70281,-122.32532,6,419848,335109,,0.0,162.41,8
NonResidential,Mixed Use Property,98119.0,7,MAGNOLIA / QUEEN ANNE,47.6239,-122.35756,4,110785,0,,0.0,92.91,14
NonResidential,Hotel,98101.0,7,DOWNTOWN,47.61275,-122.3333,0,934292,0,,0.0,1638.46,17
NonResidential,Hospital,98122.0,3,CENTRAL,47.60705,-122.30966,5,597519,0,34.0,0.0,4906.33,26
SPS-District K-12,K-12 School,98106.0,1,DELRIDGE,47.52518,-122.34828,1,71714,0,87.0,0.0,36.24,17
NonResidential,Warehouse,98103.0,4,LAKE UNION,47.65097,-122.34227,3,75397,8161,91.0,0.0,9.63,25
NonResidential,Hospital,98104.0,3,EAST,47.60399,-122.32377,8,1158691,0,29.0,122575032.0,10734.57,16
NonResidential,Senior Care Community,98104.0,2,DOWNTOWN,47.59626,-122.3218,5,102796,12611,,0.0,193.94,17
SPS-District K-12,K-12 School,98116.0,1,SOUTHWEST,47.57678,-122.38459,2,208981,0,80.0,0.0,207.79,14
NonResidential,K-12 School,98105.0,4,NORTHEAST,47.66568,-122.31368,2,55653,0,98.0,0.0,72.88,88
NonResidential,Hotel,98105.0,4,NORTHEAST,47.66151,-122.31457,16,106860,0,49.0,0.0,469.57,85
NonResidential,Small- and Mid-Sized Office,98125.0,5,NORTH,47.71895,-122.29475,5,50759,0,62.0,0.0,49.09,44
NonResidential,Worship Facility,98105.0,4,NORTHEAST,47.66182,-122.31113,2,56772,0,46.0,0.0,84.57,64
NonResidential,Worship Facility,98105.0,4,NORTHEAST,47.6626,-122.31164,3,103000,0,42.0,0.0,149.93,64
SPS-District K-12,K-12 School,98115.0,4,NORTHEAST,47.67723,-122.31281,3,269297,0,80.0,0.0,225.19,10
SPS-District K-12,K-12 School,98115.0,4,NORTHEAST,47.67184,-122.29221,3,75174,0,77.0,0.0,71.86,15
SPS-District K-12,K-12 School,98119.0,7,MAGNOLIA / QUEEN ANNE,47.64052,-122.3656,3,75214,0,88.0,0.0,43.98,13
SPS-District K-12,K-12 School,98116.0,1,SOUTHWEST,47.57298,-122.39028,3,134918,0,91.0,0.0,69.42,11
SPS-District K-12,K-12 School,98144.0,3,CENTRAL,47.59096,-122.29985,2,64414,0,67.0,0.0,16.0,25
SPS-District K-12,K-12 School,98115.0,6,NORTHWEST,47.67725,-122.32232,3,92437,0,78.0,0.0,201.05,89
NonResidential,Other,98101.0,7,DOWNTOWN,47.61103,-122.33238,7,128766,0,,0.0,57.21,102
NonResidential,Residence Hall,98101.0,7,DOWNTOWN,47.6079,-122.33266,9,107572,0,76.0,3076446.5,254.87,103
NonResidential,Other,98101.0,7,DOWNTOWN,47.60699,-122.33481,15,230880,0,,0.0,433.6,61
SPS-District K-12,K-12 School,98108.0,2,GREATER DUWAMISH,47.55237,-122.31391,3,204961,0,94.0,0.0,226.06,9
NonResidential,Other,98119.0,7,MAGNOLIA / QUEEN ANNE,47.63965,-122.3783,1,76086,0,,0.0,101.41,43
NonResidential,Medical Office,98119.0,7,MAGNOLIA / QUEEN ANNE,47.61972,-122.36033,5,190000,39000,1.0,0.0,661.04,89
NonResidential,Hotel,98121.0,7,DOWNTOWN,47.6124,-122.35075,4,122309,0,8.0,0.0,1060.13,55
Campus,Other,98125.0,7,DOWNTOWN,47.61137,-122.34947,3,215476,0,,0.0,639.39,21
NonResidential,Hotel,98121.0,7,DOWNTOWN,47.61069,-122.34653,8,254273,38800,29.0,0.0,780.84,13
Nonresidential COS,Other,98101.0,7,DOWNTOWN,47.60729,-122.34211,2,69400,0,,0.0,301.76,36
NonResidential,Mixed Use Property,98104.0,7,DOWNTOWN,47.6041,-122.33958,1,62900,0,,0.0,377.27,116
NonResidential,Small- and Mid-Sized Office,98104.0,7,DOWNTOWN,47.60271,-122.33557,4,56500,0,98.0,492761.8125,44.22,102
NonResidential,Warehouse,98134.0,2,GREATER DUWAMISH,47.59486,-122.32455,4,203504,0,72.0,0.0,26.39,8
NonResidential,Large Office,98121.0,7,DOWNTOWN,47.61757,-122.35122,3,100734,26731,20.0,0.0,68.24,48
NonResidential,Small- and Mid-Sized Office,98121.0,7,DOWNTOWN,47.61703,-122.35012,4,77662,18504,57.0,0.0,68.19,35
NonResidential,Large Office,98121.0,7,DOWNTOWN,47.61619,-122.34599,12,234000,21790,39.0,0.0,149.27,38
NonResidential,Large Office,98101.0,7,DOWNTOWN,47.61217,-122.33694,25,369996,0,74.0,0.0,172.58,27
NonResidential,Retail Store,98101.0,7,DOWNTOWN,47.61229,-122.33629,10,693450,0,93.0,21230.80078,398.19,91
NonResidential,Large Office,98191.0,7,DOWNTOWN,47.61316,-122.3343,33,791396,0,89.0,0.0,313.3,40
NonResidential,Large Office,98101.0,7,DOWNTOWN,47.61399,-122.33523,23,747747,205076,90.0,0.0,359.11,16
NonResidential,Small- and Mid-Sized Office,98101.0,7,DOWNTOWN,47.61356,-122.33665,10,63409,7757,90.0,2086424.75,170.51,90
NonResidential,Large Office,98101.0,7,DOWNTOWN,47.61375,-122.33566,17,204790,30000,91.0,0.0,100.26,86
NonResidential,Small- and Mid-Sized Office,98101.0,7,DOWNTOWN,47.61256,-122.33808,5,73399,0,61.0,0.0,26.19,100
NonResidential,Large Office,98101.0,7,DOWNTOWN,47.61391,-122.33725,20,265851,32334,90.0,6568832.0,563.25,47
NonResidential,Large Office,98121.0,7,DOWNTOWN,47.61578,-122.33726,25,758043,228668,95.0,0.0,229.25,7
NonResidential,Large Office,98121.0,7,DOWNTOWN,47.61641,-122.34112,12,206000,0,91.0,2312496.75,222.19,48
NonResidential,Large Office,98101.0,7,DOWNTOWN,47.61555,-122.33582,36,824887,154972,97.0,0.0,275.54,7
NonResidential,Large Office,98101.0,7,DOWNTOWN,47.61516,-122.33303,16,480840,141600,94.0,0.0,130.73,26
NonResidential,Small- and Mid-Sized Office,98104.0,7,DOWNTOWN,47.60266,-122.33332,7,89550,0,85.0,348386.8125,51.67,116
