BuildingType,PrimaryPropertyType,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,NumberofFloors,PropertyGFATotal,PropertyGFAParking,ENERGYSTARScore,SteamUse(kBtu),TotalGHGEmissions,BuildingAge
NonResidential,Large Office,98164.0,7,DOWNTOWN,47.60616,-122.33165,42,617684,171500,28.0,882983.5,546.65,43
NonResidential,Large Office,98104.0,7,DOWNTOWN,47.60471,-122.33261,8,201480,0,91.0,1619966.875,175.95,109
Nonresidential COS,Large Office,98104.0,3,DOWNTOWN,47.60501,-122.32988,63,1354987,159600,89.0,0.0,429.27,26
Nonresidential COS,Large Office,98104.0,3,DOWNTOWN,47.60421,-122.32919,14,310490,0,,0.0,380.37,15
Nonresidential COS,Large Office,98104.0,7,DOWNTOWN,47.60377,-122.32971,8,199530,30660,69.0,0.0,298.61,13
NonResidential,Large Office,98104.0,7,DOWNTOWN,47.60249,-122.32854,13,372242,52703,98.0,0.0,216.24,10
NonResidential,Large Office,98104.0,7,DOWNTOWN,47.60193,-122.32812,7,114395,8296,99.0,0.0,70.17,107
NonResidential,Retail Store,98105.0,4,NORTHEAST,47.66024,-122.31278,2,89200,0,83.0,0.0,89.47,38
NonResidential,Large Office,98195.0,4,NORTHEAST,47.66072,-122.31466,23,474546,0,77.0,0.0,198.34,45
NonResidential,Other,98185.0,4,NORTHEAST,47.6606,-122.31512,5,36000,0,96.0,0.0,209.41,47
NonResidential,Small- and Mid-Sized Office,98105.0,4,NORTHEAST,47.661,-122.31626,5,99005,0,70.0,0.0,119.03,55
NonResidential,Large Office,98105.0,4,NORTHEAST,47.66065,-122.31689,6,135051,44248,88.0,0.0,30.86,14
NonResidential,Large Office,98105.0,4,NORTHEAST,47.65999,-122.31741,5,220649,82720,93.0,0.0,49.12,14
NonResidential,Self-Storage Facility,98101.0,7,DOWNTOWN,47.61591,-122.33238,5,93660,0,,0.0,6.09,52
NonResidential,Large Office,98101.0,7,DOWNTOWN,47.61597,-122.33086,18,413715,64660,79.0,0.0,168.88,36
NonResidential,Mixed Use Property,98101.0,7,DOWNTOWN,47.6177,-122.3306,11,381381,195621,94.0,0.0,72.42,16
NonResidential,Large Office,98101.0,7,DOWNTOWN,47.61695,-122.32965,20,497513,118744,65.0,0.0,197.19,28
NonResidential,Large Office,98121.0,7,DOWNTOWN,47.61431,-122.34244,24,543876,116721,79.0,0.0,176.43,37
NonResidential,Mixed Use Property,98121.0,7,DOWNTOWN,47.6177,-122.3545,4,109347,38700,,0.0,91.13,36
NonResidential,Large Office,98121.0,7,DOWNTOWN,47.6182,-122.352,6,396626,124216,64.0,0.0,141.95,34
NonResidential,Large Office,98121.0,7,DOWNTOWN,47.61598,-122.34369,6,287471,83591,74.0,0.0,103.97,14
NonResidential,Large Office,98121.0,7,DOWNTOWN,47.61734,-122.34434,3,192630,48512,94.0,0.0,46.03,69
NonResidential,Large Office,98121.0,7,DOWNTOWN,47.6176,-122.35686,8,253103,61986,3.0,0.0,208.79,32
NonResidential,Supermarket / Grocery Store,98117.0,6,NORTHWEST,47.7019,-122.36374,1,60880,0,54.0,0.0,384.27,60
NonResidential,Small- and Mid-Sized Office,98104.0,7,DOWNTOWN,47.60227,-122.33202,5,50176,0,77.0,0.0,24.91,116
NonResidential,Large Office,98104.0,7,DOWNTOWN,47.60198,-122.33174,42,304346,0,72.0,1014422.375,741.3,104
NonResidential,Warehouse,98108.0,2,GREATER DUWAMISH,47.54066,-122.33023,1,128800,0,97.0,0.0,78.92,39
NonResidential,Large Office,98101.0,7,DOWNTOWN,47.60932,-122.33388,8,321945,0,76.0,3700629.75,355.05,89
NonResidential,Large Office,98101.0,7,DOWNTOWN,47.60842,-122.33305,22,336330,0,77.0,5370612.0,530.66,52
NonResidential,Large Office,98101.0,7,DOWNTOWN,47.60869,-122.33588,21,298426,0,79.0,12760971.0,1084.79,56
NonResidential,Large Office,98101.0,7,DOWNTOWN,47.60896,-122.33481,42,635824,0,69.0,0.0,337.97,40
NonResidential,Hotel,98101.0,7,DOWNTOWN,47.60804,-122.33391,12,542305,0,45.0,28438884.0,2573.75,93
NonResidential,Retail Store,98144.0,2,SOUTHEAST,47.57936,-122.29744,2,291940,0,80.0,0.0,162.45,36
NonResidential,Mixed Use Property,98108.0,2,GREATER DUWAMISH,47.52871,-122.29443,1,88400,0,42.0,0.0,116.03,46
NonResidential,Warehouse,98133.0,5,NORTHWEST,47.72912,-122.34677,1,52311,0,96.0,0.0,48.65,56
NonResidential,Other,98109.0,7,LAKE UNION,47.62323,-122.33028,5,141131,69710,,0.0,21.51,7
NonResidential,Large Office,98109.0,7,LAKE UNION,47.62333,-122.3296,5,176532,70067,60.0,0.0,40.46,15
NonResidential,Warehouse,98107.0,6,BALLARD,47.65825,-122.3683,1,52500,0,2.0,0.0,70.47,43
NonResidential,Warehouse,98107.0,6,BALLARD,47.66587,-122.38476,2,57300,0,55.0,0.0,156.67,57
NonResidential,Large Office,98121.0,7,DOWNTOWN,47.61429,-122.35263,6,350310,0,90.0,0.0,224.36,100
NonResidential,Large Office,98101.0,7,DOWNTOWN,47.60723,-122.33611,55,1400000,285000,92.0,2179487.75,588.9,28
NonResidential,Hotel,98101.0,7,DOWNTOWN,47.60968,-122.33379,21,305548,0,58.0,16284570.0,1510.85,86
NonResidential,Large Office,98101.0,7,DOWNTOWN,47.61054,-122.33466,46,1536606,512608,89.0,0.0,530.18,27
NonResidential,Large Office,98101.0,7,DOWNTOWN,47.61003,-122.33452,10,135918,0,91.0,2121203.0,193.72,58
NonResidential,Retail Store,98101.0,7,DOWNTOWN,47.61159,-122.33601,4,79957,0,25.0,0.0,36.61,102
NonResidential,Large Office,98101.0,7,DOWNTOWN,47.61166,-122.33528,4,127268,0,71.0,714523.6875,148.11,95
NonResidential,Large Office,98101.0,7,DOWNTOWN,47.61125,-122.33494,29,500000,0,93.0,0.0,131.4,33
NonResidential,Large Office,98101.0,7,DOWNTOWN,47.61005,-122.3361,10,132326,0,72.0,328247.0938,65.2,90
NonResidential,Large Office,98101.0,7,DOWNTOWN,47.61033,-122.3357,6,109830,13200,45.0,0.0,51.14,32
NonResidential,Hotel,98101.0,7,DOWNTOWN,47.60996,-122.33572,19,332067,59280,6.0,15586014.0,1468.5,43
NonResidential,Large Office,98101.0,7,DOWNTOWN,47.60991,-122.33687,10,130513,0,49.0,631029.0,318.08,106
NonResidential,Small- and Mid-Sized Office,98101.0,7,DOWNTOWN,47.60953,-122.33647,8,60660,0,,0.0,18.03,96
NonResidential,Large Office,98101.0,7,DOWNTOWN,47.60902,-122.33674,14,137350,0,89.0,2258855.25,202.99,87
NonResidential,Large Office,98101.0,7,DOWNTOWN,47.60923,-122.33625,15,151039,0,84.0,2850077.75,238.09,87
NonResidential,Large Office,98101.0,7,DOWNTOWN,47.61022,-122.33745,30,755000,134662,72.0,519390.0,793.05,31
NonResidential,Small- and Mid-Sized Office,98101.0,7,DOWNTOWN,47.60995,-122.33904,4,63540,0,72.0,0.0,74.83,110
NonResidential,Large Office,98101.0,7,DOWNTOWN,47.60987,-122.33824,10,130893,0,80.0,0.0,48.54,89
NonResidential,Mixed Use Property,98101.0,7,DOWNTOWN,47.60821,-122.33899,5,79920,0,,0.0,20.98,106
Campus,Mixed Use Property,98101.0,7,DOWNTOWN,47.60881,-122.34119,4,137400,0,,0.0,316.2,108
NonResidential,Other,98101.0,7,DOWNTOWN,47.61164,-122.33446,6,147852,86429,,0.0,185.03,20
NonResidential,Other,98101.0,7,DOWNTOWN,47.61185,-122.33421,4,267335,166960,,0.0,147.75,20
NonResidential,Large Office,98101.0,7,DOWNTOWN,47.61043,-122.33206,56,1605578,389860,97.0,915654.875,525.78,27
NonResidential,Large Office,98101.0,7,DOWNTOWN,47.60967,-122.33229,36,794592,0,96.0,0.0,216.43,36
NonResidential,Large Office,98101.0,7,DOWNTOWN,47.60909,-122.33202,21,456304,93204,74.0,0.0,135.23,45
NonResidential,Large Office,98101.0,7,DOWNTOWN,47.61029,-122.34089,12,115857,15140,89.0,0.0,33.17,30
NonResidential,Small- and Mid-Sized Office,98121.0,7,DOWNTOWN,47.61116,-122.34748,4,87500,17500,72.0,0.0,31.72,17
NonResidential,Large Office,98121.0,7,DOWNTOWN,47.6117,-122.34778,11,374405,184776,72.0,0.0,92.92,18
NonResidential,Other,98121.0,7,DOWNTOWN,47.61252,-122.34351,12,193500,38000,,0.0,100.65,31
NonResidential,Large Office,98101.0,7,DOWNTOWN,47.61108,-122.34217,11,102846,0,96.0,3480880.75,281.55,93
NonResidential,Small- and Mid-Sized Office,98121.0,7,DOWNTOWN,47.61304,-122.34059,4,52800,0,83.0,0.0,44.48,91
Campus,Mixed Use Property,98101.0,7,DOWNTOWN,47.61229,-122.33903,10,258497,0,,3902781.25,418.9,103
NonResidential,Retail Store,98181.0,7,DOWNTOWN,47.61098,-122.33815,8,861702,0,,2927935.25,328.83,87
NonResidential,Other,98101.0,7,EAST,47.61,-122.32922,5,206950,97400,,1631750.25,249.09,17
NonResidential,Other,98101.0,3,EAST,47.61048,-122.32837,9,46710,0,,1447314.625,130.69,28
NonResidential,Medical Office,98101.0,3,EAST,47.61048,-122.32837,3,266000,104000,65.0,476741.8125,201.15,71
NonResidential,Medical Office,98104.0,3,EAST,47.60921,-122.32425,14,690158,407795,58.0,0.0,147.49,24
NonResidential,Mixed Use Property,98109.0,7,LAKE UNION,47.61915,-122.34857,6,378443,177660,100.0,0.0,456.22,15
NonResidential,Mixed Use Property,98109.0,7,LAKE UNION,47.61915,-122.34857,6,213834,104922,100.0,0.0,530.59,15
NonResidential,Hotel,98109.0,7,LAKE UNION,47.62036,-122.34588,5,109017,29409,34.0,0.0,243.66,37
NonResidential,Large Office,98119.0,7,MAGNOLIA / QUEEN ANNE,47.62177,-122.36158,5,275734,38452,77.0,0.0,114.14,35
NonResidential,Warehouse,98104.0,2,GREATER DUWAMISH,47.56064,-122.32522,1,123061,0,59.0,0.0,13.86,15
NonResidential,Distribution Center,98108.0,2,GREATER DUWAMISH,47.54868,-122.3255,1,59090,0,45.0,0.0,117.11,53
NonResidential,Warehouse,98108.0,2,GREATER DUWAMISH,47.5471,-122.32406,1,106000,0,93.0,0.0,5.32,53
NonResidential,Large Office,98102.0,4,LAKE UNION,47.63349,-122.32634,3,158600,38400,19.0,0.0,236.9,54
NonResidential,Distribution Center,98108.0,2,GREATER DUWAMISH,47.53764,-122.3232,1,119661,0,97.0,0.0,5.44,56
NonResidential,Large Office,98109.0,3,LAKE UNION,47.62958,-122.32826,7,139200,44728,81.0,0.0,30.27,15
NonResidential,Small- and Mid-Sized Office,98119.0,7,MAGNOLIA / QUEEN ANNE,47.62566,-122.34287,6,95721,33921,95.0,0.0,21.36,32
NonResidential,Large Office,98109.0,7,MAGNOLIA / QUEEN ANNE,47.62929,-122.34194,5,213283,115228,83.0,0.0,39.47,20
NonResidential,Large Office,98103.0,4,LAKE UNION,47.64776,-122.33924,3,103697,47656,7.0,0.0,374.92,15
NonResidential,Small- and Mid-Sized Office,98125.0,5,NORTH,47.70105,-122.32659,5,74880,0,56.0,0.0,35.8,42
NonResidential,Small- and Mid-Sized Office,98115.0,5,NORTH,47.69999,-122.32663,6,88774,0,53.0,0.0,42.03,37
NonResidential,Large Office,98115.0,5,NORTH,47.69917,-122.3268,5,122250,0,93.0,0.0,38.59,33
NonResidential,Small- and Mid-Sized Office,98115.0,5,NORTH,47.70063,-122.32487,4,53730,0,20.0,0.0,33.06,37
NonResidential,Small- and Mid-Sized Office,98101.0,1,DELRIDGE,47.5671,-122.36416,3,55593,0,55.0,0.0,93.23,56
NonResidential,Large Office,98109.0,7,LAKE UNION,47.62269,-122.33224,4,134056,60960,54.0,0.0,32.73,34
NonResidential,Retail Store,98199.0,2,GREATER DUWAMISH,47.5653,-122.33076,1,158415,0,25.0,0.0,454.49,11
NonResidential,Large Office,98109.0,7,LAKE UNION,47.61907,-122.33651,8,287819,0,,0.0,349.07,87
NonResidential,Other,98101.0,3,EAST,47.60953,-122.32793,8,158738,0,,5650343.5,1268.87,41
NonResidential,Small- and Mid-Sized Office,98109.0,7,MAGNOLIA / QUEEN ANNE,47.62003,-122.35706,4,86995,28800,81.0,0.0,20.86,31
NonResidential,Retail Store,98107.0,6,BALLARD,47.66057,-122.36857,1,164437,0,62.0,0.0,326.18,17
NonResidential,Large Office,98109.0,7,LAKE UNION,47.62402,-122.33755,5,184482,66234,95.0,0.0,40.47,7
NonResidential,Laboratory,98109.0,7,LAKE UNION,47.62348,-122.33743,3,55200,0,,0.0,269.71,88
NonResidential,Laboratory,98109.0,7,LAKE UNION,47.62254,-122.33753,4,241159,111793,,0.0,849.83,13
NonResidential,Large Office,98109.0,7,LAKE UNION,47.62286,-122.33804,6,139282,52582,96.0,0.0,22.57,12
NonResidential,Large Office,98109.0,7,LAKE UNION,47.62383,-122.3356,5,271071,98700,96.0,0.0,61.93,7
NonResidential,Warehouse,98109.0,3,LAKE UNION,47.62572,-122.33389,5,127800,0,56.0,0.0,29.53,102
NonResidential,Large Office,98109.0,3,LAKE UNION,47.62855,-122.33035,5,560516,206597,71.0,0.0,632.4,14
NonResidential,Large Office,98109.0,3,LAKE UNION,47.62621,-122.33128,6,226592,95000,49.0,0.0,94.64,15
Campus,Other,98109.0,3,LAKE UNION,47.62855,-122.33035,5,535947,0,,0.0,3995.45,19
NonResidential,Mixed Use Property,98109.0,7,LAKE UNION,47.62121,-122.33885,5,159700,50654,,0.0,726.96,13
NonResidential,Large Office,98109.0,7,LAKE UNION,47.62137,-122.33744,4,209816,73673,97.0,0.0,122.68,10
NonResidential,Large Office,98109.0,7,LAKE UNION,47.62131,-122.33814,6,303103,109905,97.0,0.0,69.59,10
NonResidential,Mixed Use Property,98109.0,7,LAKE UNION,47.62002,-122.33687,3,67380,0,66.0,0.0,74.1,62
NonResidential,Laboratory,98109.0,7,LAKE UNION,47.62405,-122.34036,4,102235,0,,0.0,587.16,53
NonResidential,Mixed Use Property,98109.0,7,LAKE UNION,47.62405,-122.34036,5,436497,153684,,0.0,1019.53,8
NonResidential,Small- and Mid-Sized Office,98119.0,7,MAGNOLIA / QUEEN ANNE,47.62115,-122.3597,5,88062,20826,80.0,0.0,23.81,42
NonResidential,Small- and Mid-Sized Office,98119.0,7,MAGNOLIA / QUEEN ANNE,47.62224,-122.3585,5,87178,20416,69.0,0.0,25.32,44
NonResidential,Small- and Mid-Sized Office,98119.0,7,MAGNOLIA / QUEEN ANNE,47.62224,-122.3585,5,87178,20416,86.0,0.0,24.35,46
NonResidential,Small- and Mid-Sized Office,98119.0,7,MAGNOLIA / QUEEN ANNE,47.62014,-122.35768,5,88000,21600,75.0,0.0,24.29,45
NonResidential,Medical Office,98105.0,4,NORTHEAST,47.65821,-122.31831,4,196749,88405,5.0,0.0,477.87,28
NonResidential,Medical Office,98105.0,4,NORTHEAST,47.65884,-122.3183,4,191276,95281,21.0,0.0,77.99,22
NonResidential,Self-Storage Facility,98107.0,6,BALLARD,47.66838,-122.3931,2,111445,0,,0.0,163.83,70
NonResidential,Warehouse,98126.0,1,SOUTHWEST,47.56885,-122.37121,4,98475,0,83.0,0.0,22.44,19
NonResidential,Hospital,98109.0,3,LAKE UNION,47.62667,-122.32965,7,351530,150455,23.0,0.0,1032.63,16
NonResidential,Supermarket / Grocery Store,98125.0,5,NORTH,47.7237,-122.29232,2,308965,187878,78.0,0.0,277.98,21
NonResidential,Supermarket / Grocery Store,98134.0,2,GREATER DUWAMISH,47.56895,-122.33775,1,63225,0,100.0,0.0,45.47,8
Nonresidential COS,Other,98118.0,1,DELRIDGE,47.56548,-122.35378,1,113780,0,,0.0,121.98,61
NonResidential,Warehouse,98134.0,2,GREATER DUWAMISH,47.56419,-122.34262,1,243044,0,100.0,0.0,41.8,17
NonResidential,Other,98103.0,6,LAKE UNION,47.64942,-122.35024,3,280252,156312,,0.0,80.32,15
NonResidential,Other,98109.0,7,MAGNOLIA / QUEEN ANNE,47.63549,-122.34103,3,66462,12998,,0.0,47.94,64
NonResidential,Retail Store,98133.0,5,NORTHWEST,47.72053,-122.34739,1,131387,0,72.0,0.0,110.46,19
NonResidential,Warehouse,98133.0,5,NORTHWEST,47.72377,-122.34095,3,94400,0,38.0,0.0,10.24,17
NonResidential,Other,98133.0,5,NORTHWEST,47.72546,-122.34659,1,111900,0,,0.0,226.43,52
NonResidential,Supermarket / Grocery Store,98133.0,5,NORTHWEST,47.72803,-122.34214,1,144776,0,56.0,0.0,237.39,32
NonResidential,Retail Store,98133.0,5,NORTHWEST,47.7249,-122.34332,1,114000,0,79.0,0.0,553.27,49
NonResidential,Supermarket / Grocery Store,98133.0,5,NORTHWEST,47.7235,-122.34458,1,50083,0,78.0,0.0,158.92,19
NonResidential,Large Office,98103.0,6,LAKE UNION,47.65086,-122.35412,3,124071,28645,73.0,0.0,34.9,28
NonResidential,Small- and Mid-Sized Office,98103.0,6,LAKE UNION,47.64963,-122.35158,4,90000,36528,84.0,0.0,27.17,16
NonResidential,Small- and Mid-Sized Office,98103.0,6,LAKE UNION,47.64849,-122.35041,3,96041,33709,70.0,0.0,37.74,15
NonResidential,Large Office,98103.0,6,LAKE UNION,47.64822,-122.34848,3,280957,114829,96.0,0.0,94.47,17
NonResidential,Large Office,98103.0,6,LAKE UNION,47.64882,-122.34905,4,243334,103032,89.0,0.0,85.01,17
NonResidential,Mixed Use Property,98101.0,7,DOWNTOWN,47.6074,-122.33777,6,154660,0,,17548416.0,1623.34,25
NonResidential,Large Office,98108.0,2,GREATER DUWAMISH,47.55146,-122.32832,5,390295,121375,95.0,0.0,53.57,34
NonResidential,Warehouse,98108.0,2,GREATER DUWAMISH,47.54983,-122.32858,2,90000,0,87.0,0.0,17.17,49
NonResidential,Retail Store,98108.0,2,GREATER DUWAMISH,47.55032,-122.32614,1,50200,0,,0.0,32.22,50
NonResidential,Small- and Mid-Sized Office,98107.0,6,BALLARD,47.66891,-122.38528,6,94033,6200,,0.0,120.24,91
NonResidential,Warehouse,98107.0,6,BALLARD,47.66724,-122.38553,2,63240,0,100.0,0.0,8.15,75
NonResidential,Other,98107.0,6,BALLARD,47.66233,-122.3748,5,322869,182454,,0.0,413.35,8
NonResidential,Self-Storage Facility,98119.0,7,MAGNOLIA / QUEEN ANNE,47.64676,-122.37581,4,130293,23400,,0.0,3.25,28
NonResidential,Warehouse,98119.0,7,MAGNOLIA / QUEEN ANNE,47.65567,-122.37478,4,106041,0,94.0,0.0,25.58,19
NonResidential,Self-Storage Facility,98119.0,7,MAGNOLIA / QUEEN ANNE,47.63634,-122.3754,3,94470,0,,0.0,33.18,60
NonResidential,Large Office,98104.0,2,DOWNTOWN,47.59963,-122.32796,10,181694,38186,88.0,0.0,53.25,14
NonResidential,Warehouse,98108.0,2,GREATER DUWAMISH,47.54769,-122.3251,1,22780,0,33.0,0.0,2.8,50
NonResidential,Distribution Center,98168.0,2,GREATER DUWAMISH,47.54187,-122.32714,1,124472,0,62.0,0.0,237.36,49
NonResidential,Large Office,98104.0,7,DOWNTOWN,47.60411,-122.33225,22,227556,98556,95.0,0.0,59.21,46
NonResidential,Distribution Center,98168.0,2,GREATER DUWAMISH,47.54187,-122.32714,1,50065,0,72.0,0.0,42.65,49
NonResidential,Distribution Center,98108.0,2,GREATER DUWAMISH,47.54621,-122.33486,1,57540,0,26.0,0.0,76.68,47
NonResidential,Warehouse,98108.0,2,GREATER DUWAMISH,47.54853,-122.32814,1,85400,0,49.0,0.0,10.72,50
NonResidential,Warehouse,98108.0,2,GREATER DUWAMISH,47.54912,-122.32819,1,55700,0,63.0,0.0,3.62,50
NonResidential,Small- and Mid-Sized Office,98108.0,2,GREATER DUWAMISH,47.54965,-122.3278,1,53250,0,96.0,0.0,46.93,52
NonResidential,Small- and Mid-Sized Office,98109.0,7,MAGNOLIA / QUEEN ANNE,47.62476,-122.34843,6,78672,28427,98.0,0.0,28.63,29
NonResidential,Warehouse,98133.0,5,NORTHWEST,47.71286,-122.34422,3,64660,0,89.0,0.0,6.32,30
NonResidential,Mixed Use Property,98122.0,3,EAST,47.61552,-122.31744,2,75844,19928,,0.0,38.48,89
NonResidential,Distribution Center,98134.0,2,GREATER DUWAMISH,47.5701,-122.33342,1,161678,0,25.0,0.0,204.81,48
NonResidential,Distribution Center,98134.0,2,GREATER DUWAMISH,47.56874,-122.33303,1,101101,0,1.0,0.0,152.71,67
NonResidential,Distribution Center,98134.0,2,GREATER DUWAMISH,47.57023,-122.33241,1,52613,0,80.0,0.0,32.02,36
NonResidential,Other,98134.0,2,GREATER DUWAMISH,47.56785,-122.33361,1,56608,0,,0.0,74.31,76
NonResidential,Refrigerated Warehouse,98134.0,2,GREATER DUWAMISH,47.56637,-122.33273,1,104099,0,,0.0,142.36,63
NonResidential,Supermarket / Grocery Store,98103.0,5,NORTHWEST,47.69267,-122.35506,1,58184,7450,41.0,0.0,414.43,13
NonResidential,Supermarket / Grocery Store,98155.0,5,NORTH,47.73315,-122.3105,1,58480,0,37.0,0.0,272.54,36
NonResidential,Large Office,98109.0,7,LAKE UNION,47.62029,-122.33078,6,336700,124800,95.0,0.0,54.92,11
NonResidential,Retail Store,98109.0,7,LAKE UNION,47.62,-122.33027,4,264008,159994,42.0,0.0,190.61,20
NonResidential,Small- and Mid-Sized Office,98144.0,3,CENTRAL,47.59367,-122.30957,2,62220,0,32.0,0.0,38.55,102
NonResidential,Small- and Mid-Sized Office,98144.0,3,GREATER DUWAMISH,47.59388,-122.31124,1,65430,0,89.0,0.0,90.24,46
NonResidential,Large Office,98105.0,4,NORTHEAST,47.66517,-122.30186,3,102290,42440,26.0,0.0,49.17,10
NonResidential,Other,98122.0,3,CENTRAL,47.6144,-122.30982,3,80004,0,,0.0,85.28,90
NonResidential,Warehouse,98108.0,2,GREATER DUWAMISH,47.56407,-122.32765,2,323916,0,92.0,0.0,262.45,25
NonResidential,Mixed Use Property,98144.0,2,GREATER DUWAMISH,47.5928,-122.31599,14,304052,0,66.0,0.0,247.35,84
NonResidential,Small- and Mid-Sized Office,98102.0,4,LAKE UNION,47.64037,-122.32626,4,85385,31210,,0.0,33.85,38
NonResidential,Distribution Center,98108.0,1,GREATER DUWAMISH,47.53687,-122.33316,2,98024,0,94.0,0.0,42.25,27
NonResidential,Mixed Use Property,98109.0,7,LAKE UNION,47.62405,-122.33084,1,65000,15000,,0.0,63.89,88
NonResidential,Large Office,98109.0,7,LAKE UNION,47.62488,-122.33007,5,144573,66620,62.0,0.0,35.8,26
NonResidential,Retail Store,98125.0,5,NORTH,47.70759,-122.3255,2,302812,0,97.0,0.0,129.29,66
NonResidential,Small- and Mid-Sized Office,98133.0,5,NORTHWEST,47.70744,-122.33171,5,86400,0,53.0,0.0,293.55,42
NonResidential,Other,98125.0,5,NORTH,47.7094,-122.31843,2,98539,0,,0.0,46.49,47
NonResidential,Small- and Mid-Sized Office,98144.0,5,NORTHWEST,47.70732,-122.33279,6,86483,0,56.0,0.0,44.35,35
NonResidential,Distribution Center,98106.0,1,DELRIDGE,47.53926,-122.34143,1,51600,0,75.0,0.0,22.1,40
NonResidential,Warehouse,98106.0,1,DELRIDGE,47.53689,-122.33847,1,140520,0,61.0,0.0,57.73,48
NonResidential,Large Office,98109.0,7,MAGNOLIA / QUEEN ANNE,47.63116,-122.34193,5,154029,62380,95.0,0.0,58.88,30
NonResidential,Other,98133.0,5,NORTHWEST,47.70887,-122.33494,3,161789,91935,,0.0,49.28,11
NonResidential,Medical Office,98133.0,5,NORTHWEST,47.7126,-122.33782,3,63909,0,,0.0,33.22,11
NonResidential,Warehouse,98103.0,5,NORTHWEST,47.69814,-122.34295,2,53472,0,,0.0,34.0,68
NonResidential,Warehouse,98108.0,1,GREATER DUWAMISH,47.52696,-122.32913,1,50417,0,14.0,0.0,58.67,36
NonResidential,Restaurant,98101.0,7,DOWNTOWN,47.60613,-122.34115,1,43728,0,,0.0,611.19,116
NonResidential,Medical Office,98133.0,5,NORTHWEST,47.70449,-122.33272,3,133298,0,21.0,0.0,295.48,55
NonResidential,Retail Store,98125.0,5,NORTH,47.70759,-122.3255,2,168619,0,78.0,0.0,91.1,51
NonResidential,Mixed Use Property,98102.0,4,LAKE UNION,47.63451,-122.32505,5,251827,113318,,0.0,1156.45,14
NonResidential,Large Office,98109.0,7,LAKE UNION,47.6244,-122.33157,4,175885,71385,91.0,0.0,45.22,16
NonResidential,Warehouse,98134.0,2,GREATER DUWAMISH,47.56089,-122.33474,2,104786,0,93.0,0.0,23.86,47
NonResidential,Other,98134.0,2,GREATER DUWAMISH,47.55787,-122.335,1,53040,41600,,0.0,49.9,16
NonResidential,Other,98134.0,2,GREATER DUWAMISH,47.55741,-122.33163,1,110689,0,,0.0,107.83,43
NonResidential,Small- and Mid-Sized Office,98134.0,2,GREATER DUWAMISH,47.5563,-122.33186,1,53620,0,86.0,0.0,22.12,68
NonResidential,Small- and Mid-Sized Office,98134.0,2,GREATER DUWAMISH,47.55623,-122.33316,1,50008,0,62.0,0.0,65.3,78
NonResidential,Large Office,98119.0,7,MAGNOLIA / QUEEN ANNE,47.6252,-122.36737,4,291176,100176,98.0,0.0,49.74,7
NonResidential,Warehouse,98134.0,2,GREATER DUWAMISH,47.56549,-122.33221,1,50832,0,63.0,0.0,107.16,59
NonResidential,Refrigerated Warehouse,98108.0,2,GREATER DUWAMISH,47.56158,-122.32754,1,76354,0,70.0,0.0,20.29,45
NonResidential,Warehouse,98134.0,2,GREATER DUWAMISH,47.56558,-122.32889,1,98480,0,65.0,0.0,39.5,60
NonResidential,Mixed Use Property,98103.0,4,LAKE UNION,47.66113,-122.33572,2,53002,0,75.0,0.0,64.0,112
NonResidential,Mixed Use Property,98102.0,4,LAKE UNION,47.63465,-122.32592,3,175918,51218,,0.0,640.71,8
NonResidential,Other,98102.0,3,LAKE UNION,47.63108,-122.32746,3,169785,63782,,0.0,406.02,96
NonResidential,Large Office,98109.0,7,LAKE UNION,47.63,-122.3396,11,124721,0,58.0,0.0,365.79,45
NonResidential,Small- and Mid-Sized Office,98109.0,7,LAKE UNION,47.63376,-122.33968,7,94002,0,70.0,0.0,39.47,46
NonResidential,Warehouse,98108.0,2,GREATER DUWAMISH,47.55515,-122.3275,1,93020,0,60.0,0.0,8.73,42
NonResidential,Other,98121.0,7,DOWNTOWN,47.6153,-122.35014,1,23000,0,,0.0,25.74,70
NonResidential,Supermarket / Grocery Store,98118.0,2,SOUTHEAST,47.52095,-122.26825,1,61053,0,32.0,0.0,306.5,14
NonResidential,Small- and Mid-Sized Office,98104.0,2,DOWNTOWN,47.59895,-122.33379,5,78920,0,88.0,0.0,19.73,112
NonResidential,Small- and Mid-Sized Office,98104.0,2,DOWNTOWN,47.59855,-122.33327,7,99440,0,64.0,0.0,134.69,110
NonResidential,Small- and Mid-Sized Office,98104.0,2,DOWNTOWN,47.59856,-122.33379,6,73260,0,82.0,0.0,19.89,109
NonResidential,Small- and Mid-Sized Office,98104.0,7,DOWNTOWN,47.59979,-122.3338,4,69817,0,87.0,771085.1875,76.8,116
NonResidential,Small- and Mid-Sized Office,98104.0,7,DOWNTOWN,47.60035,-122.33379,4,84750,0,,0.0,26.04,116
NonResidential,Small- and Mid-Sized Office,98104.0,7,DOWNTOWN,47.60146,-122.33248,6,75496,13320,,0.0,24.89,116
NonResidential,Large Office,98104.0,7,DOWNTOWN,47.59962,-122.33247,4,164380,0,79.0,399538.3125,130.31,116
NonResidential,Large Office,98104.0,2,DOWNTOWN,47.59858,-122.33198,7,160580,0,98.0,347207.9063,99.59,109
NonResidential,Small- and Mid-Sized Office,98104.0,7,DOWNTOWN,47.60159,-122.32915,6,73470,0,83.0,0.0,22.39,107
